gene	mean_expr	CV	log2FC	padj	description
g14181	100.3	0.2245	0.119	0.9470	sp|Q9QZB9|DCTN5_MOUSE Dynactin subunit 5 OS=Mus musculus OX=10090 GN=Dctn5 PE=1 SV=1
g9973	96.1	0.2020	-0.036	0.9848	
g2736	83.4	0.1310	-0.078	0.9685	
g3353	79.3	0.1084	-0.201	0.9119	sp|Q9H6R0|DHX33_HUMAN ATP-dependent RNA helicase DHX33 OS=Homo sapiens OX=9606 GN=DHX33 PE=1 SV=2
g16040	101.3	0.2315	0.300	0.8152	sp|Q9FNI6|SM3L2_ARATH DNA repair protein RAD5A OS=Arabidopsis thaliana OX=3702 GN=RAD5A PE=1 SV=1
g11687	91.2	0.1754	0.168	0.9210	sp|B2GUY0|MA1B1_RAT Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Rattus norvegicus OX=10116 GN=Man1b1 PE=2 SV=2
g14329	102.6	0.2402	0.546	0.4748	sp|Q9V8W3|RABEP_DROME Rab proteins geranylgeranyltransferase component A OS=Drosophila melanogaster OX=7227 GN=Rep PE=1 SV=1
g2313	94.3	0.1939	0.414	0.7168	sp|P28745|RCC1_SCHPO Protein pim1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pim1 PE=1 SV=2
g5844	81.5	0.1229	-0.247	0.8777	
g5564	92.2	0.1833	0.197	0.9135	
g1069	120.0	0.3388	-0.301	0.8376	
g4893	78.5	0.1069	-0.048	0.9831	sp|Q9CWR2|SMYD3_MOUSE Histone-lysine N-methyltransferase SMYD3 OS=Mus musculus OX=10090 GN=Smyd3 PE=2 SV=1
g4337	106.7	0.2652	-0.125	0.9439	sp|Q9FF46|AB28G_ARATH ABC transporter G family member 28 OS=Arabidopsis thaliana OX=3702 GN=ABCG28 PE=3 SV=1
g6090	87.1	0.1551	0.434	0.6741	
g1826	89.1	0.1666	-0.094	0.9614	
g5529	86.5	0.1520	-0.070	0.9713	
g13818	100.8	0.2324	-0.244	0.8703	
g1145	93.8	0.1934	-0.226	0.8822	sp|Q64J17|PIMT2_ARATH Protein-L-isoaspartate O-methyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=PIMT2 PE=1 SV=1
g2355	84.1	0.1394	-0.274	0.8457	sp|B1LJ04|CBPA_ECOSM Curved DNA-binding protein OS=Escherichia coli (strain SMS-3-5 / SECEC) OX=439855 GN=cbpA PE=3 SV=1
g13758	131.2	0.4039	0.518	0.5453	sp|Q55EC7|GEFX_DICDI RasGEF domain-containing serine/threonine-protein kinase X OS=Dictyostelium discoideum OX=44689 GN=gefX PE=2 SV=1
g11532	97.9	0.2171	0.089	0.9659	sp|Q8VCE6|NT5M_MOUSE 5'(3')-deoxyribonucleotidase, mitochondrial OS=Mus musculus OX=10090 GN=Nt5m PE=1 SV=1
g4980	99.3	0.2252	0.063	0.9725	sp|Q9M041|BH140_ARATH Transcription factor bHLH140 OS=Arabidopsis thaliana OX=3702 GN=BHLH140 PE=3 SV=1
g3331	150.9	0.5157	0.570	0.3711	sp|O94680|PDAT_SCHPO Phospholipid:diacylglycerol acyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=plh1 PE=1 SV=2
g9899	122.2	0.3543	-0.220	0.8710	sp|O35459|ECH1_MOUSE Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus OX=10090 GN=Ech1 PE=1 SV=1
g2485	78.9	0.1107	0.091	0.9661	sp|A6H791|TRM61_BOVIN tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A OS=Bos taurus OX=9913 GN=TRMT61A PE=2 SV=1
g3285	101.5	0.2383	0.647	0.3531	
g5716	168.6	0.6166	0.858	0.1985	
g11328	86.1	0.1523	0.111	0.9537	sp|A6NNY8|UBP27_HUMAN Ubiquitin carboxyl-terminal hydrolase 27 OS=Homo sapiens OX=9606 GN=USP27X PE=1 SV=3
g3630	77.9	0.1060	-0.020	0.9921	
g7610	105.6	0.2624	-0.306	0.8484	
g2780	105.6	0.2627	-0.099	0.9621	
g9118	114.2	0.3117	0.219	0.8820	sp|D2HBV9|SR5A3_AILME Polyprenal reductase OS=Ailuropoda melanoleuca OX=9646 GN=SRD5A3 PE=3 SV=1
g6756	101.3	0.2391	0.590	0.4214	
g4680	85.8	0.1522	-0.326	0.7966	sp|Q9FWW9|GSXL2_ARATH Flavin-containing monooxygenase FMO GS-OX-like 2 OS=Arabidopsis thaliana OX=3702 GN=At1g12200 PE=2 SV=1
g13244	116.5	0.3255	0.165	0.9210	
g14066	84.1	0.1424	0.191	0.9135	sp|Q1ZXG8|D1060_DICDI Probable tyrosine-protein phosphatase DG1060 OS=Dictyostelium discoideum OX=44689 GN=DG1060 PE=3 SV=1
g14312	114.0	0.3129	-0.009	0.9954	sp|P49247|RPIA_HUMAN Ribose-5-phosphate isomerase OS=Homo sapiens OX=9606 GN=RPIA PE=1 SV=3
g4663	108.3	0.2809	0.260	0.8333	
g323	88.8	0.1701	0.120	0.9509	
g14369	118.5	0.3395	-0.364	0.7219	sp|Q6M9M7|Y1998_PARUW Uncharacterized RNA methyltransferase pc1998 OS=Protochlamydia amoebophila (strain UWE25) OX=264201 GN=pc1998 PE=3 SV=1
g8626	119.1	0.3430	0.579	0.5759	
g7971	107.7	0.2781	-0.558	0.5622	sp|Q8C9A2|ENDOV_MOUSE Endonuclease V OS=Mus musculus OX=10090 GN=Endov PE=1 SV=2
g2856	75.5	0.0958	0.085	0.9673	sp|Q6B966|NAL14_MOUSE NACHT, LRR and PYD domains-containing protein 14 OS=Mus musculus OX=10090 GN=Nlrp14 PE=1 SV=2
g551	74.4	0.0893	0.115	0.9543	
g5174	74.9	0.0925	-0.158	0.9362	sp|Q1JQ91|RPB4_BOVIN DNA-directed RNA polymerase II subunit RPB4 OS=Bos taurus OX=9913 GN=POLR2D PE=1 SV=1
g7499	108.8	0.2853	0.097	0.9614	sp|Q8MKL1|U598_DROME UPF0598 protein CG30010 OS=Drosophila melanogaster OX=7227 GN=CG30010 PE=2 SV=2
g2776	94.3	0.2031	0.407	0.7006	
g4717	119.5	0.3463	0.257	0.8532	sp|Q8WXW3|PIBF1_HUMAN Progesterone-induced-blocking factor 1 OS=Homo sapiens OX=9606 GN=PIBF1 PE=1 SV=2
g10268	99.3	0.2319	0.359	0.7811	sp|Q9NVI1|FANCI_HUMAN Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4
g10272	100.0	0.2363	-0.354	0.7593	
g1774	87.5	0.1659	0.198	0.9076	sp|Q4G073|TRDMT_RAT tRNA (cytosine(38)-C(5))-methyltransferase OS=Rattus norvegicus OX=10116 GN=Trdmt1 PE=2 SV=1
g8977	91.7	0.1905	-0.431	0.6989	
g1622	97.4	0.2229	0.177	0.9264	sp|Q8N5T2|TBC19_HUMAN TBC1 domain family member 19 OS=Homo sapiens OX=9606 GN=TBC1D19 PE=1 SV=2
g8991	81.5	0.1323	0.122	0.9509	sp|Q9DC48|PRP17_MOUSE Pre-mRNA-processing factor 17 OS=Mus musculus OX=10090 GN=Cdc40 PE=1 SV=1
g14702	93.5	0.2016	-0.550	0.5119	sp|Q5M843|OGFD3_RAT 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 OS=Rattus norvegicus OX=10116 GN=Ogfod3 PE=2 SV=1
g1588	132.4	0.4241	0.543	0.4670	sp|P0C0R3|LIP_STAEP Lipase OS=Staphylococcus epidermidis OX=1282 GN=lip PE=1 SV=1
g585	97.1	0.2225	0.430	0.6924	sp|O95199|RCBT2_HUMAN RCC1 and BTB domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RCBTB2 PE=1 SV=1
g11202	111.5	0.3051	-0.380	0.7217	sp|Q9W4J5|NEP1_DROME Ribosomal RNA small subunit methyltransferase NEP1 OS=Drosophila melanogaster OX=7227 GN=CG3527 PE=3 SV=2
g7920	118.1	0.3428	-1.007	0.0691	sp|Q6DBY2|NAA50_DANRE N-alpha-acetyltransferase 50 OS=Danio rerio OX=7955 GN=naa50 PE=1 SV=1
g628	88.0	0.1708	-0.351	0.7874	sp|Q5RBH8|ITFG2_PONAB KICSTOR complex protein ITFG2 OS=Pongo abelii OX=9601 GN=ITFG2 PE=2 SV=1
g9715	93.5	0.2026	0.547	0.5026	
g12404	147.4	0.5115	-0.886	0.0721	
g13434	77.5	0.1116	0.058	0.9773	sp|Q7T293|SDE2_DANRE Splicing regulator SDE2 OS=Danio rerio OX=7955 GN=sde2 PE=2 SV=2
g2622	119.0	0.3500	-0.337	0.8417	
g15243	92.4	0.1971	0.523	0.5515	sp|Q8K2M3|SRR1L_MOUSE SRR1-like protein OS=Mus musculus OX=10090 GN=Srrd PE=2 SV=4
g14012	89.3	0.1798	-0.099	0.9614	sp|P23412|PROF_TETPY Profilin OS=Tetrahymena pyriformis OX=5908 PE=2 SV=1
g1680	114.1	0.3232	-0.379	0.7470	sp|Q54YG9|TCEA1_DICDI Transcription elongation factor A protein 1 OS=Dictyostelium discoideum OX=44689 GN=tcea1 PE=3 SV=1
g4964	99.8	0.2408	-0.127	0.9504	sp|O26884|THIOL_METTH Acetyl-CoA acetyltransferase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=MTH_793 PE=3 SV=1
g4323	107.4	0.2849	-0.294	0.8519	
g4265	85.5	0.1587	0.369	0.7577	
g1186	85.1	0.1565	-0.395	0.7319	
g747	90.1	0.1854	0.221	0.9078	sp|Q93ZE9|SFH3_ARATH Phosphatidylinositol/phosphatidylcholine transfer protein SFH3 OS=Arabidopsis thaliana OX=3702 GN=SFH3 PE=2 SV=1
g10476	83.1	0.1457	-0.332	0.7894	
g1246	114.2	0.3247	0.615	0.3685	sp|O13871|YE16_SCHPO Uncharacterized methyltransferase C1B3.06c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1B3.06c PE=3 SV=1
g9363	136.5	0.4540	-0.338	0.7351	sp|O81769|DPH5_ARATH Probable diphthine methyl ester synthase OS=Arabidopsis thaliana OX=3702 GN=At4g31790 PE=2 SV=1
g7658	103.5	0.2642	-0.213	0.8809	sp|Q69ZK0|PREX1_MOUSE Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Mus musculus OX=10090 GN=Prex1 PE=1 SV=2
g14078	131.1	0.4235	0.723	0.1888	sp|Q6SSJ3|ILVB_CRYN9 Acetolactate synthase, mitochondrial OS=Cryptococcus neoformans (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) OX=235443 GN=ILV2 PE=3 SV=1
g4479	76.5	0.1085	0.020	0.9921	
g4643	127.8	0.4049	0.087	0.9614	sp|Q8C3Y4|KNTC1_MOUSE Kinetochore-associated protein 1 OS=Mus musculus OX=10090 GN=Kntc1 PE=1 SV=2
g11832	83.0	0.1464	0.101	0.9609	sp|Q6GP62|VPS29_XENLA Vacuolar protein sorting-associated protein 29 OS=Xenopus laevis OX=8355 GN=vps29 PE=2 SV=1
g13938	115.0	0.3320	0.312	0.8296	
g9426	93.7	0.2086	0.546	0.5064	
g14727	84.5	0.1554	-0.011	0.9946	
g9837	134.1	0.4428	-0.336	0.7685	sp|O14777|NDC80_HUMAN Kinetochore protein NDC80 homolog OS=Homo sapiens OX=9606 GN=NDC80 PE=1 SV=1
g927	103.1	0.2634	-0.410	0.6835	sp|Q9VHS8|IF4A3_DROME Eukaryotic initiation factor 4A-III OS=Drosophila melanogaster OX=7227 GN=CG7483 PE=1 SV=1
g3668	82.0	0.1413	0.218	0.9051	
g7366	90.7	0.1921	0.367	0.7606	sp|P26235|NAPA_ENTHR Na(+)/H(+) antiporter OS=Enterococcus hirae OX=1354 GN=napA PE=1 SV=1
g1982	136.6	0.4579	-1.030	0.1048	sp|Q2JL77|RL36_SYNJB Large ribosomal subunit protein bL36 OS=Synechococcus sp. (strain JA-2-3B'a(2-13)) OX=321332 GN=rpmJ PE=3 SV=1
g4671	126.3	0.3985	-0.246	0.8563	
g11599	90.0	0.1883	0.070	0.9694	sp|A2VE47|ADPGK_BOVIN ADP-dependent glucokinase OS=Bos taurus OX=9913 GN=ADPGK PE=2 SV=1
g7013	102.3	0.2597	0.285	0.8549	sp|P87055|YDJ7_SCHPO Uncharacterized protein C57A10.07 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC57A10.07 PE=4 SV=1
g14343	126.9	0.4028	0.852	0.1007	sp|Q91VI7|RINI_MOUSE Ribonuclease inhibitor OS=Mus musculus OX=10090 GN=Rnh1 PE=1 SV=1
g11341	103.5	0.2682	-0.089	0.9614	sp|Q9VIZ0|RPAC2_DROME DNA-directed RNA polymerases I and III subunit RPAC2 OS=Drosophila melanogaster OX=7227 GN=Polr1D PE=1 SV=1
g12880	89.9	0.1892	0.295	0.8393	
g290	86.9	0.1721	-0.125	0.9474	
g9163	103.1	0.2660	0.034	0.9848	
g4712	117.7	0.3525	-0.856	0.1713	sp|O54748|STK3_RAT Serine/threonine-protein kinase 3 OS=Rattus norvegicus OX=10116 GN=Stk3 PE=1 SV=1
g14064	88.3	0.1813	0.082	0.9679	
g566	86.5	0.1708	0.078	0.9685	
g2701	82.6	0.1480	0.197	0.9139	sp|Q3V0M2|LRC36_MOUSE Leucine-rich repeat-containing protein 36 OS=Mus musculus OX=10090 GN=Lrrc36 PE=1 SV=2
g8412	85.0	0.1624	0.260	0.8704	
g1388	94.8	0.2197	0.520	0.5296	
g1943	88.2	0.1812	0.077	0.9689	
g15671	102.8	0.2667	0.148	0.9474	sp|O05218|YWRD_BACSU Glutathione hydrolase-like YwrD proenzyme OS=Bacillus subtilis (strain 168) OX=224308 GN=ywrD PE=1 SV=1
g13841	170.6	0.6626	0.335	0.7091	sp|Q08890|IDS_MOUSE Iduronate 2-sulfatase OS=Mus musculus OX=10090 GN=Ids PE=2 SV=3
g11360	95.6	0.2253	-0.321	0.7841	
g49	78.6	0.1263	-0.116	0.9509	sp|P0AF25|NAGD_ECO57 Ribonucleotide monophosphatase NagD OS=Escherichia coli O157:H7 OX=83334 GN=nagD PE=3 SV=1
g10135	106.6	0.2907	-0.224	0.9126	sp|Q8RB32|GDPD_CALS4 Glycerophosphodiester phosphodiesterase OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=UgpQ PE=1 SV=1
g6442	156.2	0.5812	0.549	0.5200	sp|O32134|YUNE_BACSU Probable membrane transporter protein YunE OS=Bacillus subtilis (strain 168) OX=224308 GN=yunE PE=3 SV=1
g442	112.2	0.3238	0.026	0.9899	sp|Q6DHC3|S2540_DANRE Mitochondrial glutathione transporter SLC25A40 OS=Danio rerio OX=7955 GN=slc25a40 PE=2 SV=1
g2332	77.8	0.1229	0.082	0.9689	sp|Q2KJ22|MINY1_BOVIN Ubiquitin carboxyl-terminal hydrolase MINDY-1 OS=Bos taurus OX=9913 GN=MINDY1 PE=2 SV=1
g12853	89.4	0.1908	-0.416	0.6888	sp|Q54KL5|WDR5_DICDI WD repeat-containing protein 5 homolog OS=Dictyostelium discoideum OX=44689 GN=wdr5 PE=3 SV=1
g7725	135.7	0.4629	0.081	0.9614	sp|Q5ZJ60|HIBCH_CHICK 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Gallus gallus OX=9031 GN=HIBCH PE=2 SV=1
g10322	120.8	0.3760	0.465	0.5604	sp|O14044|PNO1_SCHPO Pre-rRNA-processing protein pno1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rbp28 PE=1 SV=2
g14964	100.5	0.2572	0.339	0.7694	sp|P39953|YEA6_YEAST Mitochondrial nicotinamide adenine dinucleotide transporter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEA6 PE=1 SV=1
g9289	98.3	0.2444	0.569	0.5467	sp|E8T3K9|RLIG_THEA1 Putative RNA ligase OS=Thermovibrio ammonificans (strain DSM 15698 / JCM 12110 / HB-1) OX=648996 GN=Theam_0167 PE=1 SV=1
g7697	87.1	0.1794	0.487	0.6162	sp|B3MF31|ANM7_DROAN Protein arginine N-methyltransferase 7 OS=Drosophila ananassae OX=7217 GN=Art7 PE=3 SV=1
g9583	115.7	0.3472	-0.574	0.5258	sp|P38656|LA_RAT Lupus La protein homolog OS=Rattus norvegicus OX=10116 GN=Ssb PE=1 SV=1
g16017	85.6	0.1704	-0.123	0.9482	sp|Q59641|PPIA_PSEAE Peptidyl-prolyl cis-trans isomerase A OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=ppiA PE=3 SV=2
g1175	91.8	0.2072	0.267	0.8739	sp|Q9VHI4|SF3B5_DROME Splicing factor 3B subunit 5 OS=Drosophila melanogaster OX=7227 GN=Sf3b5 PE=1 SV=1
g14900	104.8	0.2845	-0.309	0.8097	
g4830	116.4	0.3532	0.417	0.6428	sp|Q9HXM1|HDAH_PSEAE Histone deacetylase-like amidohydrolase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA3774 PE=1 SV=1
g3893	92.2	0.2103	0.576	0.4748	
g15556	94.4	0.2232	-0.640	0.3690	
g15550	84.5	0.1651	-0.163	0.9362	
g14840	85.7	0.1725	0.159	0.9323	sp|D2H8V8|DCR1B_AILME 5' exonuclease Apollo OS=Ailuropoda melanoleuca OX=9646 GN=DCLRE1B PE=3 SV=1
g8558	88.9	0.1918	0.276	0.8415	sp|O74773|MSH2_SCHPO DNA mismatch repair protein msh2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=msh2 PE=3 SV=2
g11923	77.6	0.1251	-0.260	0.8703	
g4563	75.0	0.1103	0.229	0.8909	sp|Q4V8K2|CTBL1_RAT Beta-catenin-like protein 1 OS=Rattus norvegicus OX=10116 GN=Ctnnbl1 PE=1 SV=1
g11467	84.8	0.1690	0.143	0.9433	
g9159	74.6	0.1086	-0.149	0.9433	sp|Q8GUN6|DNJ50_ARATH Chaperone protein dnaJ 50 OS=Arabidopsis thaliana OX=3702 GN=C50 PE=2 SV=1
g10241	105.5	0.2917	-0.248	0.8640	sp|P23744|SODF_METJ Superoxide dismutase [Mn/Fe] OS=Methylomonas sp. (strain J) OX=32038 GN=sodB PE=1 SV=1
g12854	76.0	0.1175	-0.022	0.9910	sp|Q23256|WDR53_CAEEL WD repeat-containing protein wdr-5.3 OS=Caenorhabditis elegans OX=6239 GN=wdr-5.3 PE=3 SV=1
g12324	85.7	0.1748	0.307	0.8249	sp|P93043|VPS41_ARATH Vacuolar protein sorting-associated protein 41 homolog OS=Arabidopsis thaliana OX=3702 GN=VPS41 PE=1 SV=3
g13897	70.1	0.0824	-0.124	0.9517	sp|Q8NFH3|NUP43_HUMAN Nucleoporin Nup43 OS=Homo sapiens OX=9606 GN=NUP43 PE=1 SV=1
g4280	85.6	0.1745	0.027	0.9881	sp|Q90678|PAFA_CHICK Platelet-activating factor acetylhydrolase OS=Gallus gallus OX=9031 GN=PLA2G7 PE=2 SV=1
g684	69.2	0.0770	-0.056	0.9807	
g7475	77.7	0.1274	-0.096	0.9627	sp|P0CN80|SLX1_CRYD1 Structure-specific endonuclease subunit SLX1 OS=Cryptococcus deneoformans (strain JEC21 / ATCC MYA-565) OX=214684 GN=SLX1 PE=3 SV=1
g6976	266.3	1.2467	1.645	0.0523	
g1311	134.0	0.4620	-0.631	0.3395	sp|P09471|GNAO_HUMAN Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=4
g4133	97.1	0.2432	-0.367	0.7552	
g6869	80.3	0.1435	0.238	0.8875	
g15834	89.8	0.2005	0.116	0.9509	
g7417	86.9	0.1836	-0.327	0.8162	sp|B3CSS9|ATPA_ORITI ATP synthase subunit alpha OS=Orientia tsutsugamushi (strain Ikeda) OX=334380 GN=atpA PE=3 SV=1
g9747	93.8	0.2248	0.247	0.8659	sp|Q6FFF7|NIAP_ACIAD Niacin transporter NiaP OS=Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1) OX=62977 GN=niaP PE=1 SV=1
g14049	80.7	0.1469	0.175	0.9272	sp|P46871|KRP95_STRPU Kinesin-II 95 kDa subunit OS=Strongylocentrotus purpuratus OX=7668 GN=KRP95 PE=1 SV=1
g15698	124.6	0.4089	-0.251	0.8752	sp|Q8MJ30|DHPR_PIG Dihydropteridine reductase OS=Sus scrofa OX=9823 GN=QDPR PE=2 SV=1
g12447	82.8	0.1598	0.139	0.9474	
g10616	125.1	0.4138	0.653	0.4636	
g10644	89.6	0.2018	-0.053	0.9785	
g16035	81.3	0.1524	-0.014	0.9936	sp|P0C027|NUD10_MOUSE Diphosphoinositol polyphosphate phosphohydrolase 3-alpha OS=Mus musculus OX=10090 GN=Nudt10 PE=1 SV=1
g12200	81.4	0.1528	0.112	0.9540	sp|A0A0X1KHF9|RPH_LISMF Rifampicin phosphotransferase OS=Listeria monocytogenes serotype 4b (strain F2365) OX=265669 GN=rph PE=1 SV=2
g3117	92.7	0.2207	-0.152	0.9433	
g13305	142.8	0.5214	-0.377	0.7296	sp|Q17N71|CLU_AEDAE Clustered mitochondria protein homolog OS=Aedes aegypti OX=7159 GN=AAEL000794 PE=3 SV=1
g6092	123.9	0.4085	-0.157	0.9362	sp|P46875|KN14N_ARATH Kinesin-like protein KIN-14N OS=Arabidopsis thaliana OX=3702 GN=KIN14N PE=1 SV=1
g7168	104.7	0.2933	0.371	0.7673	sp|Q54VV7|Y0111_DICDI Probable serine/threonine-protein kinase DDB_G0280111 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0280111 PE=3 SV=1
g14919	84.5	0.1729	0.123	0.9509	sp|Q9NNW5|WDR6_HUMAN tRNA (34-2'-O)-methyltransferase regulator WDR6 OS=Homo sapiens OX=9606 GN=WDR6 PE=1 SV=1
g12906	75.6	0.1199	-0.192	0.9147	sp|Q9WTK5|NFKB2_MOUSE Nuclear factor NF-kappa-B p100 subunit OS=Mus musculus OX=10090 GN=Nfkb2 PE=1 SV=1
g10846	88.8	0.1989	-0.461	0.6570	sp|Q9QXA5|LSM4_MOUSE U6 snRNA-associated Sm-like protein LSm4 OS=Mus musculus OX=10090 GN=Lsm4 PE=1 SV=1
g1583	118.1	0.3749	-1.072	0.0800	
g4560	89.9	0.2063	0.182	0.9210	
g1377	100.6	0.2718	-0.041	0.9848	
g11357	78.5	0.1397	0.162	0.9343	sp|Q2KID0|EXOS2_BOVIN Exosome complex component RRP4 OS=Bos taurus OX=9913 GN=EXOSC2 PE=2 SV=1
g14009	113.7	0.3516	0.446	0.5995	sp|Q6L5C4|P2C52_ORYSJ Probable protein phosphatase 2C 52 OS=Oryza sativa subsp. japonica OX=39947 GN=Os05g0587100 PE=2 SV=1
g10434	123.9	0.4130	0.007	0.9974	
g692	117.5	0.3752	0.786	0.2097	
g6385	111.1	0.3367	0.545	0.5245	sp|Q8ZIK1|RLUA_YERPE Dual-specificity RNA pseudouridine synthase RluA OS=Yersinia pestis OX=632 GN=rluA PE=3 SV=1
g10101	85.6	0.1835	-0.271	0.8683	sp|Q9Y333|LSM2_HUMAN U6 snRNA-associated Sm-like protein LSm2 OS=Homo sapiens OX=9606 GN=LSM2 PE=1 SV=1
g15975	101.4	0.2794	-0.003	0.9978	sp|Q7K566|BMCP_DROME Mitochondrial uncoupling protein Bmcp OS=Drosophila melanogaster OX=7227 GN=Bmcp PE=2 SV=1
g13959	69.8	0.0886	-0.028	0.9880	sp|Q0R4F1|PIF1_XENLA ATP-dependent DNA helicase PIF1 OS=Xenopus laevis OX=8355 GN=pif1 PE=2 SV=1
g4086	95.4	0.2428	-0.140	0.9479	
g6231	89.7	0.2088	-0.326	0.8153	
g9540	76.9	0.1316	0.341	0.7916	
g7175	90.5	0.2136	-0.207	0.9165	
g9418	94.3	0.2370	0.408	0.6835	
g7604	85.3	0.1836	0.209	0.9112	
g5909	154.3	0.6015	0.628	0.4944	
g15689	66.3	0.0687	0.024	0.9904	
g2595	78.0	0.1397	-0.297	0.8314	sp|Q9ZR07|FRDA_ARATH Frataxin, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=FH PE=1 SV=2
g4645	93.6	0.2347	-0.082	0.9673	sp|Q6PAK3|ANM8_MOUSE Protein arginine N-methyltransferase 8 OS=Mus musculus OX=10090 GN=Prmt8 PE=1 SV=2
g15902	80.2	0.1535	-0.067	0.9750	sp|Q96CA5|BIRC7_HUMAN Baculoviral IAP repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=BIRC7 PE=1 SV=2
g5070	69.1	0.0861	-0.068	0.9740	sp|P59114|CAPAM_MOUSE mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase OS=Mus musculus OX=10090 GN=Pcif1 PE=1 SV=1
g11958	94.0	0.2379	-0.195	0.9210	
g8928	89.7	0.2124	-0.192	0.9179	sp|Q9CZ04|CSN7A_MOUSE COP9 signalosome complex subunit 7a OS=Mus musculus OX=10090 GN=Cops7a PE=1 SV=2
g12007	103.6	0.2970	0.002	0.9987	sp|Q9JMF7|DOPP1_MOUSE Dolichyldiphosphatase 1 OS=Mus musculus OX=10090 GN=Dolpp1 PE=2 SV=1
g171	95.8	0.2505	-0.145	0.9382	sp|Q165J6|RF2_ROSDO Peptide chain release factor 2 OS=Roseobacter denitrificans (strain ATCC 33942 / OCh 114) OX=375451 GN=prfB PE=3 SV=1
g15872	65.5	0.0665	0.078	0.9700	
g6670	192.9	0.8436	0.125	0.9614	
g6980	97.3	0.2605	-0.358	0.7378	sp|Q8BHT7|RGP1_MOUSE RAB6A-GEF complex partner protein 2 OS=Mus musculus OX=10090 GN=Rgp1 PE=2 SV=1
g12139	95.7	0.2509	-0.709	0.2793	sp|Q9Z336|DYLT1_RAT Dynein light chain Tctex-type 1 OS=Rattus norvegicus OX=10116 GN=Dynlt1 PE=1 SV=1
g12723	89.1	0.2108	-0.303	0.8333	sp|B2B3L4|MKAR_PODAN Very-long-chain 3-oxoacyl-CoA reductase OS=Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) OX=515849 GN=Pa_6_6580 PE=3 SV=2
g1450	74.9	0.1242	-0.170	0.9343	sp|A8QCE4|LST2_BRUMA Lateral signaling target protein 2 homolog OS=Brugia malayi OX=6279 GN=Bm5439 PE=3 SV=1
g1990	183.0	0.7844	-0.650	0.2624	sp|A0A0S2II38|C7A94_KALSE Beta-amyrin 28-monooxygenase OS=Kalopanax septemlobus OX=228393 GN=CYP716A94 PE=1 SV=1
g12040	112.1	0.3518	-0.766	0.1824	sp|Q44250|ATDA2_ACISP Gamma-glutamylanilide hydrolase OS=Acinetobacter sp. OX=472 GN=atdA2 PE=1 SV=1
g14048	83.5	0.1772	-0.152	0.9370	
g12543	83.7	0.1782	-0.165	0.9293	sp|Q54RV6|TPPC2_DICDI Trafficking protein particle complex subunit 2 OS=Dictyostelium discoideum OX=44689 GN=trappc2 PE=3 SV=1
g6076	85.6	0.1899	0.363	0.7554	
g9193	104.7	0.3070	-0.891	0.1199	sp|P90994|DJ11_CAEEL Glutathione-independent glyoxalase DJR-1.1 OS=Caenorhabditis elegans OX=6239 GN=djr-1.1 PE=1 SV=1
g14233	95.1	0.2488	0.393	0.7593	
g14457	73.2	0.1146	0.188	0.9186	
g6527	80.0	0.1565	0.091	0.9629	
g4459	74.6	0.1236	-0.167	0.9322	
