gene	scaf	strand	n_exons	n_introns	utr5_start	utr5_end	utr5_len	utr3_start	utr3_end	utr3_len	n_utr5_introns	first_intron_start	first_intron_end
g5438	Scaffolds_19	-	4	3	431721	431929	209			0	0	430699	430793
g6038	Scaffolds_19	-	2	1	2479373	2479431	59			0	0	2479059	2479144
g9860	Scaffolds_26	-	4	3	488670	489744	1075			0	0	488024	488153
g13882	Scaffolds_4	+	1	0			0			0	0		
g1952	Scaffolds_13	+	1	0			0			0	0		
g8763	Scaffolds_23	-	5	4	1740838	1741183	346			0	0	1739850	1739909
g11920	Scaffolds_3	+	6	5			0	1629801	1629822	22	0	1628612	1628746
g10052	Scaffolds_26	+	1	0			0			0	0		
g7287	Scaffolds_21	-	1	0			0			0	0		
g7686	Scaffolds_21	+	1	0			0			0	0		
g3609	Scaffolds_16	+	1	0			0			0	0		
g9584	Scaffolds_25	+	1	0			0			0	0		
g11663	Scaffolds_3	-	6	5			0			0	0	670451	670608
g11642	Scaffolds_3	+	1	0			0			0	0		
g13168	Scaffolds_33	-	1	0			0			0	0		
g15833	Scaffolds_9	+	3	2			0	25328	25519	192	0	24620	24755
g11012	Scaffolds_29	-	4	3			0			0	0	1588270	1588597
g12313	Scaffolds_31	-	1	0			0			0	0		
g15025	Scaffolds_6	+	3	2			0	323830	324403	574	0	323281	323399
g12886	Scaffolds_33	+	4	3			0	259816	259886	71	0	258871	258928
g8349	Scaffolds_23	-	1	0			0			0	0		
g14546	Scaffolds_4	-	1	0			0			0	0		
g4705	Scaffolds_18	-	1	0			0			0	0		
g6833	Scaffolds_20	-	1	0			0			0	0		
g13685	Scaffolds_4	+	3	2			0	308158	308960	803	0	307555	307683
g9550	Scaffolds_25	-	1	0			0			0	0		
g13111	Scaffolds_33	+	1	0			0	1131134	1136256	5123	0		
g5855	Scaffolds_19	-	1	0			0			0	0		
g7293	Scaffolds_21	+	1	0			0			0	0		
g9464	Scaffolds_25	-	1	0			0			0	0		
g8909	Scaffolds_24	-	4	3	140036	140400	365			0	0	139368	139537
g6805	Scaffolds_20	-	1	0			0			0	0		
g9877	Scaffolds_26	-	2	1			0			0	0	543110	543183
g3962	Scaffolds_17	-	3	2	699336	702115	2780			0	0	698566	698712
g11569	Scaffolds_3	+	1	0			0			0	0		
g6131	Scaffolds_2	-	2	1			0			0	0	370169	370274
g1700	Scaffolds_11	-	1	0			0			0	0		
g280	Scaffolds_0	+	1	0			0			0	0		
g10192	Scaffolds_26	+	1	0			0			0	0		
g6561	Scaffolds_20	-	1	0			0			0	0		
g4736	Scaffolds_18	-	1	0			0			0	0		
g6493	Scaffolds_20	-	7	6			0			0	0	229329	229555
g8818	Scaffolds_23	-	1	0			0			0	0		
g7162	Scaffolds_21	-	2	1			0			0	0	544212	544285
g5227	Scaffolds_18	-	1	0			0			0	0		
g933	Scaffolds_10	+	3	2			0			0	0	404201	404521
g6475	Scaffolds_20	-	1	0			0			0	0		
g3733	Scaffolds_16	+	1	0			0			0	0		
g1786	Scaffolds_13	+	1	0			0			0	0		
g5749	Scaffolds_19	-	1	0			0			0	0		
g7042	Scaffolds_20	+	1	0			0			0	0		
g11842	Scaffolds_3	+	1	0			0			0	0		
g5915	Scaffolds_19	-	1	0			0			0	0		
g1532	Scaffolds_11	+	7	6			0	995945	996038	94	0	994059	994175
g9996	Scaffolds_26	-	1	0			0			0	0		
g10388	Scaffolds_28	+	12	11			0	95617	98292	2676	0	89001	89173
g9493	Scaffolds_25	-	1	0			0			0	0		
g2917	Scaffolds_15	+	1	0			0			0	0		
g10355	Scaffolds_27	-	1	0			0			0	0		
g6937	Scaffolds_20	-	1	0			0			0	0		
g2529	Scaffolds_14	+	1	0			0			0	0		
g12592	Scaffolds_32	+	1	0			0			0	0		
g6048	Scaffolds_19	+	2	1			0	2522010	2526899	4890	0	2520933	2521003
g7722	Scaffolds_21	-	1	0			0			0	0		
g8858	Scaffolds_23	+	1	0			0	2062629	2062936	308	0		
g6333	Scaffolds_2	-	1	0			0			0	0		
g1412	Scaffolds_11	-	1	0			0			0	0		
g11468	Scaffolds_3	-	1	0			0			0	0		
g7763	Scaffolds_21	+	1	0			0			0	0		
g4854	Scaffolds_18	-	1	0			0			0	0		
g9488	Scaffolds_25	+	1	0			0			0	0		
g7370	Scaffolds_21	+	2	1			0	1249128	1249629	502	0	1245422	1247966
g9160	Scaffolds_24	-	1	0			0			0	0		
g5045	Scaffolds_18	+	1	0			0			0	0		
g12594	Scaffolds_32	+	1	0			0			0	0		
g13214	Scaffolds_33	-	1	0			0			0	0		
g7228	Scaffolds_21	-	1	0			0			0	0		
g1600	Scaffolds_11	+	1	0			0			0	0		
g9206	Scaffolds_24	+	1	0			0			0	0		
g15193	Scaffolds_6	+	1	0			0			0	0		
g8639	Scaffolds_23	+	1	0			0			0	0		
g13418	Scaffolds_33	-	1	0			0			0	0		
g13397	Scaffolds_33	+	1	0			0			0	0		
g2932	Scaffolds_15	+	1	0			0			0	0		
g6474	Scaffolds_20	+	1	0			0			0	0		
g5568	Scaffolds_19	+	1	0			0			0	0		
g1462	Scaffolds_11	-	1	0			0			0	0		
g4836	Scaffolds_18	-	1	0			0			0	0		
g6662	Scaffolds_20	-	1	0			0			0	0		
g6478	Scaffolds_20	-	1	0			0			0	0		
g7962	Scaffolds_22	-	1	0			0			0	0		
g14473	Scaffolds_4	+	1	0			0			0	0		
g8651	Scaffolds_23	+	1	0			0			0	0		
g9203	Scaffolds_24	-	1	0			0			0	0		
g3677	Scaffolds_16	+	1	0			0			0	0		
g6583	Scaffolds_20	+	2	1			0			0	0	531155	531247
g3091	Scaffolds_15	-	1	0			0			0	0		
g11833	Scaffolds_3	-	2	1	1341521	1342455	935			0	0	1341067	1341367
g9985	Scaffolds_26	+	1	0			0			0	0		
g7221	Scaffolds_21	+	1	0			0			0	0		
g11277	Scaffolds_29	-	1	0	2581715	2581756	42			0	0		
g3969	Scaffolds_17	+	1	0			0			0	0		
g4312	Scaffolds_18	+	6	5			0			0	0	274286	274443
g3458	Scaffolds_16	+	1	0			0			0	0		
g4551	Scaffolds_18	-	1	0			0			0	0		
g13359	Scaffolds_33	+	3	2			0	2135131	2135594	464	0	2133825	2133904
g10325	Scaffolds_27	+	9	8			0	186935	187223	289	0	183317	183444
g14074	Scaffolds_4	+	1	0			0			0	0		
g5263	Scaffolds_18	-	1	0			0			0	0		
g1923	Scaffolds_13	+	6	5			0	601542	602286	745	0	599262	599317
g2464	Scaffolds_14	-	1	0			0			0	0		
g12760	Scaffolds_32	+	6	5			0	759443	759548	106	0	757155	757199
g4170	Scaffolds_17	-	3	2			0			0	0	1422039	1422277
g9049	Scaffolds_24	+	1	0			0			0	0		
g3224	Scaffolds_15	-	1	0			0			0	0		
g14758	Scaffolds_5	+	1	0			0			0	0		
g2727	Scaffolds_15	+	1	0			0			0	0		
g3704	Scaffolds_16	+	1	0			0			0	0		
g12370	Scaffolds_31	+	1	0	700459	704214	3756			0	0		
g694	Scaffolds_1	-	2	1			0			0	0	790212	790305
g2170	Scaffolds_14	+	1	0			0	374393	374473	81	0		
g13157	Scaffolds_33	-	1	0			0			0	0		
g6183	Scaffolds_2	+	3	2			0			0	0	529615	529905
g11225	Scaffolds_29	+	1	0			0			0	0		
g6853	Scaffolds_20	-	1	0			0			0	0		
g2406	Scaffolds_14	+	1	0			0			0	0		
g6897	Scaffolds_20	-	1	0			0			0	0		
g13754	Scaffolds_4	+	2	1			0	599670	599861	192	0	596745	596818
g14453	Scaffolds_4	-	1	0	3391155	3391264	110			0	0		
g8718	Scaffolds_23	-	3	2			0			0	0	1583244	1583522
g5203	Scaffolds_18	+	1	0			0			0	0		
g15465	Scaffolds_8	+	2	1			0	398644	400148	1505	0	398072	398113
g2804	Scaffolds_15	-	1	0			0			0	0		
g7046	Scaffolds_20	-	1	0			0			0	0		
g10001	Scaffolds_26	+	1	0			0			0	0		
g11784	Scaffolds_3	-	1	0			0			0	0		
g9745	Scaffolds_26	-	1	0			0			0	0		
g8201	Scaffolds_22	-	3	2			0			0	0	1518700	1518815
g5157	Scaffolds_18	-	1	0			0			0	0		
g13570	Scaffolds_33	-	2	1			0			0	0	2973817	2973904
g7243	Scaffolds_21	+	1	0			0			0	0		
g6277	Scaffolds_2	+	1	0			0			0	0		
g5344	Scaffolds_19	+	2	1			0	182665	183138	474	0	182172	182331
g6728	Scaffolds_20	+	4	3			0	1092758	1092840	83	0	1091879	1092073
g6255	Scaffolds_2	-	1	0			0			0	0		
g622	Scaffolds_1	+	1	0			0	555965	556182	218	0		
g431	Scaffolds_0	+	1	0			0			0	0		
g12364	Scaffolds_31	+	1	0			0			0	0		
g6476	Scaffolds_20	-	2	1			0			0	0	172777	172859
g1458	Scaffolds_11	-	1	0			0			0	0		
g15522	Scaffolds_8	-	1	0			0			0	0		
g6655	Scaffolds_20	+	2	1			0	766262	767399	1138	0	766145	766190
g3075	Scaffolds_15	-	1	0			0			0	0		
g2719	Scaffolds_15	+	2	1			0			0	0	478459	478901
g7489	Scaffolds_21	-	1	0			0			0	0		
g2110	Scaffolds_14	+	1	0			0			0	0		
g5264	Scaffolds_18	+	1	0			0			0	0		
g11638	Scaffolds_3	+	1	0			0			0	0		
g15901	Scaffolds_9	+	1	0			0			0	0		
g3936	Scaffolds_17	+	2	1			0	599680	604467	4788	0	599120	599358
g15406	Scaffolds_8	+	33	32			0	205114	205298	185	0	192247	192370
g4480	Scaffolds_18	+	3	2			0			0	0	890539	890866
g4251	Scaffolds_17	-	1	0			0			0	0		
g12148	Scaffolds_30	+	1	0			0			0	0		
g722	Scaffolds_1	+	1	0			0			0	0		
g11611	Scaffolds_3	-	1	0			0			0	0		
g9115	Scaffolds_24	+	1	0			0			0	0		
g12328	Scaffolds_31	+	1	0			0			0	0		
g13737	Scaffolds_4	-	1	0			0			0	0		
g7223	Scaffolds_21	+	1	0			0			0	0		
g14169	Scaffolds_4	+	1	0			0			0	0		
g2282	Scaffolds_14	-	1	0			0			0	0		
g13196	Scaffolds_33	-	1	0			0			0	0		
g4782	Scaffolds_18	-	4	3			0			0	0	1989407	1989659
g8253	Scaffolds_22	-	1	0			0			0	0		
g5852	Scaffolds_19	+	1	0			0			0	0		
g9367	Scaffolds_25	-	1	0			0			0	0		
g14801	Scaffolds_5	+	1	0			0			0	0		
g1977	Scaffolds_13	-	1	0			0			0	0		
g1726	Scaffolds_12	+	1	0			0			0	0		
g527	Scaffolds_1	+	3	2			0			0	0	216180	216244
g1549	Scaffolds_11	+	22	21			0	1051541	1052508	968	0	1043462	1044118
g1064	Scaffolds_10	+	1	0			0			0	0		
g2903	Scaffolds_15	-	1	0			0			0	0		
g12834	Scaffolds_33	+	3	2			0	94164	94691	528	0	92980	93031
g1235	Scaffolds_10	-	1	0			0			0	0		
g12535	Scaffolds_31	+	1	0			0			0	0		
g338	Scaffolds_0	+	1	0			0			0	0		
g15497	Scaffolds_8	-	2	1			0			0	0	533046	533091
g3264	Scaffolds_15	+	2	1			0			0	0	2671104	2671358
g6818	Scaffolds_20	+	3	2			0	1447855	1448883	1029	0	1446859	1446943
g10138	Scaffolds_26	-	5	4			0			0	0	1498865	1498993
g15434	Scaffolds_8	+	1	0			0			0	0		
g3725	Scaffolds_16	-	1	0			0			0	0		
g13073	Scaffolds_33	-	3	2	989458	989801	344			0	0	988996	989204
g15213	Scaffolds_7	-	2	1	45078	46146	1069			0	0	44741	44790
g11187	Scaffolds_29	+	1	0			0	2235706	2236156	451	0		
g13773	Scaffolds_4	+	1	0			0			0	0		
g9486	Scaffolds_25	+	1	0			0			0	0		
g6196	Scaffolds_2	+	3	2			0	564872	566401	1530	0	563491	564036
g673	Scaffolds_1	+	2	1			0	734164	734386	223	0	733600	733816
g8199	Scaffolds_22	+	1	0			0			0	0		
g3372	Scaffolds_16	-	1	0			0			0	0		
g3867	Scaffolds_17	+	2	1			0	349670	350167	498	0	349326	349504
g10685	Scaffolds_29	-	7	6	289131	289313	183			0	0	285518	285709
g12475	Scaffolds_31	+	1	0			0			0	0		
g15811	Scaffolds_8	-	1	0			0			0	0		
g11221	Scaffolds_29	+	2	1			0	2360343	2360990	648	0	2359482	2359533
g11172	Scaffolds_29	-	1	0			0			0	0		
g7267	Scaffolds_21	-	1	0			0			0	0		
g4884	Scaffolds_18	-	1	0			0			0	0		
g3899	Scaffolds_17	+	1	0			0			0	0		
g15042	Scaffolds_6	-	1	0			0			0	0		
g6526	Scaffolds_20	-	1	0			0			0	0		
g14368	Scaffolds_4	-	3	2			0			0	0	3014519	3014747
g10782	Scaffolds_29	-	3	2	661866	662117	252			0	0	661191	661247
g12687	Scaffolds_32	-	1	0			0			0	0		
g8896	Scaffolds_24	-	1	0			0			0	0		
g6146	Scaffolds_2	+	1	0			0			0	0		
g13971	Scaffolds_4	+	1	0			0			0	0		
g7436	Scaffolds_21	+	1	0			0			0	0		
g8455	Scaffolds_23	+	1	0			0			0	0		
g5653	Scaffolds_19	-	1	0			0			0	0		
g579	Scaffolds_1	-	2	1			0			0	0	397553	397928
g7189	Scaffolds_21	-	3	2	634876	635075	200			0	0	634139	634277
g15817	Scaffolds_8	+	1	0			0	1717473	1718655	1183	0		
g7554	Scaffolds_21	+	1	0			0			0	0		
g14524	Scaffolds_4	-	1	0			0			0	0		
g1489	Scaffolds_11	-	2	1			0			0	0	801920	802094
g4393	Scaffolds_18	-	1	0			0			0	0		
g15699	Scaffolds_8	+	2	1			0	1232951	1233672	722	0	1232287	1232389
g4749	Scaffolds_18	+	1	0			0			0	0		
g11201	Scaffolds_29	+	1	0			0			0	0		
g5790	Scaffolds_19	-	1	0			0			0	0		
g11121	Scaffolds_29	+	4	3			0	2009634	2009660	27	0	2008808	2008900
g13401	Scaffolds_33	+	1	0			0			0	0		
g3768	Scaffolds_16	+	1	0			0			0	0		
g6740	Scaffolds_20	+	1	0			0			0	0		
g8568	Scaffolds_23	+	1	0			0			0	0		
g14535	Scaffolds_4	-	1	0			0			0	0		
g4820	Scaffolds_18	+	1	0			0			0	0		
g10025	Scaffolds_26	+	1	0			0			0	0		
g3008	Scaffolds_15	+	1	0			0			0	0		
g6759	Scaffolds_20	+	1	0			0			0	0		
g1094	Scaffolds_10	-	1	0			0			0	0		
g14141	Scaffolds_4	-	1	0			0			0	0		
g10749	Scaffolds_29	+	2	1			0			0	0	562100	562270
g11253	Scaffolds_29	+	1	0			0			0	0		
g15264	Scaffolds_7	-	1	0			0			0	0		
g6079	Scaffolds_2	+	1	0			0			0	0		
g455	Scaffolds_0	-	1	0			0			0	0		
g3536	Scaffolds_16	-	1	0			0			0	0		
g99	Scaffolds_0	-	2	1			0			0	0	451562	451647
g3975	Scaffolds_17	-	2	1			0			0	0	755811	755887
g9354	Scaffolds_25	-	1	0			0			0	0		
g9588	Scaffolds_25	+	3	2			0	984735	987430	2696	0	984055	984354
g14309	Scaffolds_4	-	1	0			0			0	0		
g13029	Scaffolds_33	-	1	0			0			0	0		
g11173	Scaffolds_29	+	1	0			0			0	0		
g15862	Scaffolds_9	+	1	0			0			0	0		
g13072	Scaffolds_33	+	1	0			0	988653	989787	1135	0		
g7112	Scaffolds_21	+	1	0			0			0	0		
g11669	Scaffolds_3	+	1	0			0			0	0		
g12908	Scaffolds_33	-	5	4			0			0	0	334680	334858
g804	Scaffolds_1	+	1	0			0			0	0		
g14918	Scaffolds_5	-	1	0			0			0	0		
g11602	Scaffolds_3	-	1	0			0			0	0		
g15061	Scaffolds_6	+	1	0			0			0	0		
g3676	Scaffolds_16	+	1	0			0			0	0		
g12642	Scaffolds_32	+	5	4			0	387008	387463	456	0	385147	385484
g10611	Scaffolds_28	+	1	0			0			0	0		
g8654	Scaffolds_23	+	1	0			0			0	0		
g2571	Scaffolds_14	-	1	0			0			0	0		
g14864	Scaffolds_5	+	3	2			0	1101695	1102138	444	0	1101370	1101421
g14117	Scaffolds_4	+	1	0			0			0	0		
g6787	Scaffolds_20	+	1	0			0			0	0		
g8655	Scaffolds_23	+	1	0			0			0	0		
g11302	Scaffolds_29	+	1	0			0	2662401	2664802	2402	0		
g3289	Scaffolds_15	+	1	0			0			0	0		
g6581	Scaffolds_20	-	2	1			0			0	0	525793	525845
g13084	Scaffolds_33	-	2	1	1028389	1028645	257			0	0	1028222	1028296
g12107	Scaffolds_30	-	1	0			0			0	0		
g5866	Scaffolds_19	+	1	0			0			0	0		
g13329	Scaffolds_33	-	1	0			0			0	0		
g11168	Scaffolds_29	-	1	0			0			0	0		
g1279	Scaffolds_10	+	1	0			0			0	0		
g8192	Scaffolds_22	+	1	0			0			0	0		
g12848	Scaffolds_33	-	1	0			0			0	0		
g13551	Scaffolds_33	-	1	0			0			0	0		
g6321	Scaffolds_2	-	1	0			0			0	0		
g4477	Scaffolds_18	-	4	3			0			0	0	885856	885972
g8156	Scaffolds_22	-	4	3	1345807	1346566	760			0	0	1344823	1344920
g14060	Scaffolds_4	+	1	0			0			0	0		
g9567	Scaffolds_25	+	3	2			0	927100	927307	208	0	926642	926722
g15300	Scaffolds_7	-	1	0			0			0	0		
g4674	Scaffolds_18	+	2	1			0	1573234	1574227	994	0	1560871	1561195
g14903	Scaffolds_5	-	1	0			0			0	0		
g2217	Scaffolds_14	+	3	2			0			0	0	542526	542679
g14868	Scaffolds_5	-	1	0			0			0	0		
g11211	Scaffolds_29	+	1	0			0			0	0		
g12531	Scaffolds_31	+	1	0			0			0	0		
g4484	Scaffolds_18	+	1	0			0			0	0		
g9682	Scaffolds_25	-	1	0			0			0	0		
g6880	Scaffolds_20	-	1	0			0			0	0		
g13738	Scaffolds_4	-	4	3	542322	542611	290			0	0	541366	541445
g15388	Scaffolds_8	+	2	1			0	114398	115006	609	0	114013	114147
g10424	Scaffolds_28	-	1	0	316747	318021	1275			0	0		
g6435	Scaffolds_20	-	1	0			0			0	0		
g8313	Scaffolds_22	+	5	4			0	1949597	1949726	130	0	1947882	1948291
g15790	Scaffolds_8	+	1	0			0			0	0		
g129	Scaffolds_0	+	2	1			0	556235	557188	954	0	555781	555867
g10677	Scaffolds_29	+	2	1			0			0	0	262671	262840
g7638	Scaffolds_21	+	1	0			0	2321549	2328350	6802	0		
g9057	Scaffolds_24	+	3	2			0	685773	685879	107	0	685071	685192
g14466	Scaffolds_4	+	1	0			0			0	0		
g2799	Scaffolds_15	+	1	0			0			0	0		
g6311	Scaffolds_2	-	1	0			0			0	0		
g3357	Scaffolds_16	+	1	0			0			0	0		
g15978	Scaffolds_9	+	1	0			0			0	0		
g7932	Scaffolds_22	+	1	0			0			0	0		
g9916	Scaffolds_26	+	1	0			0			0	0		
g13838	Scaffolds_4	-	1	0			0			0	0		
g6998	Scaffolds_20	+	1	0			0	2095052	2095790	739	0		
g2491	Scaffolds_14	+	1	0			0	1496299	1498896	2598	0		
g12650	Scaffolds_32	-	1	0			0			0	0		
g6523	Scaffolds_20	+	1	0			0			0	0		
g2229	Scaffolds_14	+	1	0			0			0	0		
g8892	Scaffolds_24	+	2	1			0			0	0	94273	94342
g3386	Scaffolds_16	+	1	0			0			0	0		
g12135	Scaffolds_30	+	1	0			0			0	0		
g5740	Scaffolds_19	+	1	0			0			0	0		
g5946	Scaffolds_19	+	1	0			0			0	0		
g7294	Scaffolds_21	+	1	0			0			0	0		
g11681	Scaffolds_3	-	1	0			0			0	0		
g1609	Scaffolds_11	-	2	1			0			0	0	1251357	1251435
g8337	Scaffolds_22	-	1	0			0			0	0		
g15594	Scaffolds_8	-	1	0			0			0	0		
g5365	Scaffolds_19	-	2	1	232954	233347	394			0	0	232814	232915
g621	Scaffolds_1	+	1	0			0	553038	553259	222	0		
g11588	Scaffolds_3	+	2	1			0			0	0	449188	449305
g9100	Scaffolds_24	-	1	0			0			0	0		
g15681	Scaffolds_8	-	1	0			0			0	0		
g11525	Scaffolds_3	-	1	0			0			0	0		
g3238	Scaffolds_15	-	1	0			0			0	0		
g3466	Scaffolds_16	+	1	0			0			0	0		
g1582	Scaffolds_11	+	1	0			0			0	0		
g902	Scaffolds_10	-	1	0			0			0	0		
g6858	Scaffolds_20	+	2	1			0			0	0	1568688	1568895
g6107	Scaffolds_2	+	1	0			0			0	0		
g14296	Scaffolds_4	+	1	0			0			0	0		
g2176	Scaffolds_14	+	6	5			0	388617	388700	84	0	386260	386321
g4612	Scaffolds_18	+	1	0			0			0	0		
g2460	Scaffolds_14	-	1	0			0			0	0		
g11438	Scaffolds_29	-	1	0			0			0	0		
g9489	Scaffolds_25	+	1	0			0			0	0		
g1380	Scaffolds_11	+	1	0			0			0	0		
g11735	Scaffolds_3	+	1	0			0			0	0		
g3832	Scaffolds_17	-	1	0			0			0	0		
g12858	Scaffolds_33	-	2	1			0			0	0	172841	173153
g8608	Scaffolds_23	-	1	0			0			0	0		
g7946	Scaffolds_22	+	1	0			0			0	0		
g9243	Scaffolds_24	+	1	0			0			0	0		
g5951	Scaffolds_19	+	1	0			0			0	0		
g2879	Scaffolds_15	-	1	0			0			0	0		
g1034	Scaffolds_10	-	5	4			0			0	0	764696	764998
g3250	Scaffolds_15	+	2	1			0			0	0	2604792	2605095
g10528	Scaffolds_28	-	1	0			0			0	0		
g6956	Scaffolds_20	-	2	1	1958469	1958550	82			0	0	1958058	1958189
g14420	Scaffolds_4	+	1	0			0			0	0		
g2931	Scaffolds_15	+	1	0			0			0	0		
g423	Scaffolds_0	+	1	0			0			0	0		
g2308	Scaffolds_14	+	1	0			0			0	0		
g9780	Scaffolds_26	+	1	0			0			0	0		
g12953	Scaffolds_33	-	1	0			0			0	0		
g6241	Scaffolds_2	+	1	0			0			0	0		
g1830	Scaffolds_13	-	1	0			0			0	0		
g917	Scaffolds_10	-	2	1	335739	337944	2206			0	0	335521	335579
g6786	Scaffolds_20	-	1	0			0			0	0		
g13382	Scaffolds_33	-	1	0			0			0	0		
g10316	Scaffolds_27	-	1	0			0			0	0		
g7472	Scaffolds_21	+	1	0			0			0	0		
g14034	Scaffolds_4	+	3	2			0	1667185	1667442	258	0	1666597	1666778
g9204	Scaffolds_24	+	2	1			0			0	0	1419336	1419520
g14685	Scaffolds_5	-	1	0			0			0	0		
g1687	Scaffolds_11	-	2	1			0			0	0	1585211	1585274
g7705	Scaffolds_21	-	2	1			0			0	0	2614969	2615281
g10847	Scaffolds_29	-	1	0			0			0	0		
g3661	Scaffolds_16	+	1	0			0			0	0		
g13805	Scaffolds_4	-	1	0			0			0	0		
g6398	Scaffolds_2	+	2	1			0	1386854	1387050	197	0	1386511	1386718
g3771	Scaffolds_16	-	1	0			0			0	0		
g9236	Scaffolds_24	+	3	2			0	1531709	1532661	953	0	1531105	1531403
g5990	Scaffolds_19	+	4	3			0			0	0	2301275	2301334
g1401	Scaffolds_11	+	2	1			0			0	0	525060	525221
g3150	Scaffolds_15	+	1	0			0			0	0		
g151	Scaffolds_0	+	1	0			0			0	0		
g2090	Scaffolds_14	+	2	1			0			0	0	89293	89592
g1988	Scaffolds_13	+	1	0			0	855481	855615	135	0		
g8371	Scaffolds_23	-	1	0			0			0	0		
g12802	Scaffolds_32	+	1	0			0			0	0		
g4708	Scaffolds_18	-	1	0			0			0	0		
g5319	Scaffolds_19	-	1	0			0			0	0		
g6054	Scaffolds_19	-	17	16			0			0	0	2565731	2565886
g10621	Scaffolds_29	-	1	0			0			0	0		
g13493	Scaffolds_33	+	1	0			0	2666433	2666936	504	0		
g4678	Scaffolds_18	+	1	0			0			0	0		
g6933	Scaffolds_20	-	1	0			0			0	0		
g4940	Scaffolds_18	-	1	0			0			0	0		
g15609	Scaffolds_8	-	1	0			0			0	0		
g15763	Scaffolds_8	-	1	0			0			0	0		
g4554	Scaffolds_18	-	1	0			0			0	0		
g5370	Scaffolds_19	-	1	0			0			0	0		
g76	Scaffolds_0	-	1	0			0			0	0		
g15821	Scaffolds_8	-	8	7	1746822	1747154	333			0	0	1744880	1745035
g5184	Scaffolds_18	-	2	1			0			0	0	3495977	3496338
g10143	Scaffolds_26	+	1	0			0			0	0		
g14152	Scaffolds_4	-	1	0			0			0	0		
g283	Scaffolds_0	-	1	0			0			0	0		
g1210	Scaffolds_10	+	1	0			0			0	0		
g14797	Scaffolds_5	-	2	1	850930	851464	535			0	0	849818	850736
g4179	Scaffolds_17	-	1	0			0			0	0		
g5204	Scaffolds_18	-	1	0			0			0	0		
g14519	Scaffolds_4	-	1	0			0			0	0		
g9577	Scaffolds_25	-	2	1			0			0	0	950320	950412
g5108	Scaffolds_18	-	1	0			0			0	0		
g12254	Scaffolds_31	-	1	0			0			0	0		
g6631	Scaffolds_20	-	5	4	701147	701406	260	699505	700204	700	0	699646	699959
g12188	Scaffolds_31	-	1	0			0			0	0		
g15440	Scaffolds_8	+	1	0			0			0	0		
g8220	Scaffolds_22	+	1	0			0			0	0		
g6397	Scaffolds_2	+	4	3			0	1386321	1386360	40	0	1384877	1385176
g11558	Scaffolds_3	-	1	0			0			0	0		
g8623	Scaffolds_23	-	1	0			0			0	0		
g3256	Scaffolds_15	-	1	0	2615888	2616085	198			0	0		
g2928	Scaffolds_15	+	1	0			0			0	0		
g875	Scaffolds_10	+	1	0			0			0	0		
g2885	Scaffolds_15	-	1	0			0			0	0		
g5944	Scaffolds_19	+	1	0			0			0	0		
g1017	Scaffolds_10	+	1	0			0			0	0		
g7738	Scaffolds_21	-	1	0			0			0	0		
g8480	Scaffolds_23	+	1	0			0	535944	537225	1282	0		
g8386	Scaffolds_23	+	1	0			0			0	0		
g13265	Scaffolds_33	+	1	0			0			0	0		
g6445	Scaffolds_20	-	1	0			0			0	0		
g1182	Scaffolds_10	-	3	2			0			0	0	1296501	1296620
g5057	Scaffolds_18	-	4	3			0			0	0	2908797	2908898
g7063	Scaffolds_21	-	1	0	87501	87637	137			0	0		
g466	Scaffolds_0	-	1	0			0			0	0		
g12131	Scaffolds_30	-	8	7	516356	516649	294			0	0	511832	511931
g1217	Scaffolds_10	-	4	3	1416175	1416263	89			0	0	1415584	1415629
g13191	Scaffolds_33	+	1	0			0			0	0		
g15297	Scaffolds_7	-	1	0			0			0	0		
g10584	Scaffolds_28	+	3	2			0	964160	964551	392	0	963232	963372
g10693	Scaffolds_29	+	1	0			0			0	0		
g11460	Scaffolds_3	+	2	1			0	3805	4787	983	0	3295	3408
g1620	Scaffolds_11	-	2	1	1337887	1339306	1420	1337503	1337513	11	0	1337520	1337642
g9383	Scaffolds_25	+	2	1			0			0	0	223328	225286
g8368	Scaffolds_23	-	2	1	136707	137474	768			0	0	136444	136567
g7515	Scaffolds_21	-	3	2	1797088	1797120	33			0	0	1796030	1796112
g2288	Scaffolds_14	-	1	0	784927	785127	201			0	0		
g8482	Scaffolds_23	+	1	0			0			0	0		
g10309	Scaffolds_27	+	6	5			0	124890	125684	795	0	122747	122980
g9173	Scaffolds_24	+	1	0			0			0	0		
g9668	Scaffolds_25	-	1	0			0			0	0		
g12060	Scaffolds_30	-	3	2			0			0	0	234787	234900
g9020	Scaffolds_24	-	1	0			0			0	0		
g14577	Scaffolds_4	-	4	3			0			0	0	3795891	3798297
g1352	Scaffolds_11	+	1	0			0			0	0		
g10283	Scaffolds_26	-	1	0			0			0	0		
g15907	Scaffolds_9	+	1	0			0			0	0		
g8839	Scaffolds_23	-	1	0			0			0	0		
g10240	Scaffolds_26	-	1	0			0			0	0		
g12196	Scaffolds_31	+	1	0			0			0	0		
g16038	Scaffolds_9	+	1	0			0			0	0		
g14746	Scaffolds_5	+	1	0			0			0	0		
g7154	Scaffolds_21	+	1	0			0			0	0		
g10733	Scaffolds_29	-	1	0			0			0	0		
g577	Scaffolds_1	-	1	0	394048	394288	241			0	0		
g13355	Scaffolds_33	+	1	0			0	2103357	2110160	6804	0		
g2762	Scaffolds_15	+	1	0			0			0	0		
g2481	Scaffolds_14	+	1	0			0			0	0		
